,Minus1_LFQ,Minus2_LFQ,Minus3_LFQ,Plus1_LFQ,Plus2_LFQ,Plus3_LFQ,Minus1,Minus2,Minus3,Plus1,Plus2,Plus3
sp|P36578|RL4_HUMAN,156262548.7893651,170143623.65676966,194056230.920741,161353969.28952286,194136166.3554468,177482458.13801587,124169763.22555004,166789507.2042622,192774033.03520107,170471098.63342455,187253986.29334804,211976608.75807527
sp|Q9P258|RCC2_HUMAN,26864709.189697634,23072940.193725377,28692929.243865535,28625065.106204435,32719366.787958894,25766608.915981185,29312183.891009625,24930140.132501792,17514912.333363734,44512777.827778004,22372929.420853037,27098675.831926875
sp|P55036|PSMD4_HUMAN,41989510.85311487,42073463.405478574,40663874.13812659,41485788.2143432,44358888.83802283,43132923.29223713,42215619.323049106,40253090.33785762,41138555.60261927,42531880.73880122,42816771.251278326,44748531.487717666
sp|Q9Y490|TLN1_HUMAN,234850343.9704222,239246284.3667106,239005560.1097918,236470548.68420503,235659404.15869936,241154795.02822608,288953331.19730616,240803880.30564857,242772799.438963,262866593.9346233,179188711.74476278,211801619.6967515
sp|O94826|TOM70_HUMAN,18731244.41943163,18231338.127832033,16986822.45446994,12538359.783381842,18395132.93568452,20980957.134719625,17764157.7700387,21410913.056395918,23427924.352737203,3989680.4630919807,22343427.064188406,16927752.149067406
sp|P35221|CTNA1_HUMAN,42813179.85188951,50129782.51002419,55454452.887527436,48690852.30091079,49393757.35464732,49006927.49195184,46051794.11184639,49450690.93264648,54544709.75048861,57148315.60368428,46117071.771287724,42176370.2269976
sp|Q9GZT9|EGLN1_HUMAN,16256527.318216717,14394437.093134534,17467166.45978731,14933186.122924535,14316340.755626751,15090934.842167906,18826673.692661017,11668539.697145736,15853648.58595907,15663359.635143775,14694756.48417527,15751614.496772904
sp|Q14498|RBM39_HUMAN,8373574.170490371,8752224.113693075,8543002.620224077,9091736.544195417,8700560.221461354,10400332.340796545,4540769.854269466,11091964.64883871,3310305.8518140633,7917804.928948748,10817829.295763668,16182755.431226183
sp|Q9NX63|MIC19_HUMAN,41269311.12406705,55637373.37707051,51705846.32483282,51730033.583089605,50561382.82919085,54960325.43061243,56287285.44571079,54164484.99044907,49219492.45433666,48245529.42333897,47248368.07717104,50699112.27785673
sp|P26641|EF1G_HUMAN,317023890.99220604,263905891.40605518,275956510.9721617,293292069.6686467,279408980.6975777,240155004.1892794,357048484.9694477,477809450.4962631,285363100.11489373,175659803.76356182,185864684.6634549,187996823.9183054
sp|P20810|ICAL_HUMAN,57359060.14816403,57113076.571287274,55372518.52844682,54279223.17043981,60962837.10079357,57603946.95686748,58036045.34372852,78852088.57022154,61175570.865373164,37664127.518282816,46342445.588599205,60620384.58979372
sp|O14981|BTAF1_HUMAN,1938441.3833680705,1530068.9725845729,1379793.7586001344,1511679.5599513745,1783079.67824889,1249175.1336513564,2833392.4368287176,936448.1622177017,1595676.0868922677,1741206.311994605,853940.079069752,1431575.409401354
sp|P53618|COPB_HUMAN,57524321.81690452,46567776.08713461,46782777.50680676,63285184.41566022,60055442.30185803,57670215.676371716,59843400.77915327,48129061.681552224,38888615.686436206,61345261.741617315,52349805.10793808,71329572.80803883
sp|Q99733|NP1L4_HUMAN,41294061.94637185,45975363.04848994,39917859.468523696,37699157.98996097,43064504.7241457,45875162.134042725,36901573.85103403,47400120.291664585,44166519.531560846,31745057.662129045,48659602.972396985,44953235.00274941
sp|P19404|NDUV2_HUMAN,10757001.13418294,10575200.410256086,11345417.352629663,13402819.008468287,9044162.628557593,13025764.137204172,7766731.879991539,15716891.00768484,17153796.383160207,8812614.64176664,439281.1326092565,18261049.626086254
sp|Q9H7E9|CH033_HUMAN,2928518.51520137,2653208.3493861007,2938968.307198074,2905147.526534374,2524345.317260456,2900619.516583604,2127915.917404035,3213375.712071186,3440028.405940514,3777204.006401088,2184639.657002844,2107643.8333443124
sp|P06753|TPM3_HUMAN,59577431.37836564,73254122.55446328,70948263.80326052,58062610.85913178,68499234.9668175,59432087.90602378,65653329.66743651,72019534.40948193,72460586.87483555,60289289.01542944,62739369.19183898,56611642.30904014
sp|Q13586|STIM1_HUMAN,11547781.680675136,11118870.712533785,12821303.740707148,10724584.411098558,10724584.411098558,11317391.648512423,12593470.697468363,9594237.657243533,11056762.695282385,11279782.493326468,10615441.208276019,13114821.853028838
sp|P49916|DNLI3_HUMAN,6587606.54706939,6186619.0989477215,5195500.056010966,4971127.8815228455,6558627.962331827,6633511.059635274,5876405.898868855,8021418.141567259,6815566.968399762,3350142.43865576,5869960.0231435895,6199499.134882795
sp|Q9Y277|VDAC3_HUMAN,63876841.46379846,60456998.65751096,61285805.50828188,50731560.57430206,53553889.24425467,52093918.694812134,57811448.576891154,48576841.53392145,48250147.32408265,72044746.49495886,68295444.8703649,47020385.34274122
sp|Q86VP6|CAND1_HUMAN,150325684.71380508,148974963.73816487,144715157.6737495,147306698.9032087,153188173.490418,144086041.15915024,163716621.27228585,158193388.0389768,138384742.67510465,130699768.63752316,147087857.6452724,150514341.40933368
sp|Q12888|TP53B_HUMAN,29281058.41364322,26823445.995286476,30131061.72769494,23651977.715745136,26434840.43146273,28650338.05549188,27081386.084967036,22789432.711590476,29836854.60387078,25075158.975135475,27486972.984322574,32702916.979438033
sp|Q15293|RCN1_HUMAN,93568588.59982736,100221771.59553614,111241891.41282196,97187136.07526547,100750801.34832217,103377810.85962807,112352988.74141708,114333933.16400757,118098127.36149554,111303133.61804974,56326790.00679612,93933026.99963512
sp|P12270|TPR_HUMAN,77706565.90194389,82694986.3398725,85849032.93601367,81682142.17861019,76825173.63596012,76739810.71207872,68826278.83017772,93740033.3252561,86703459.39673808,69827878.38793588,73696269.95555234,88703791.80881894
sp|P80723|BASP1_HUMAN,167339296.7963461,140323970.92294988,134195018.038163,140795806.03324506,139454264.79188764,146629354.01072496,97792515.6008098,197134341.46191052,84789848.23075151,148558358.51318076,178995655.72614312,161466991.06052092
sp|P46821|MAP1B_HUMAN,211398308.75772452,200140597.15264407,187421421.90688348,196024143.2006258,183514274.7850961,201145725.5000844,219411397.00780642,230585860.43681946,184705141.02227134,184738799.76797912,151401031.80437118,208802241.26381087
sp|Q2NKX8|ERC6L_HUMAN,5397644.631700261,4267221.826417384,4889750.01937544,4877328.009982825,5232200.69625289,5226799.79669766,4800840.746507963,2083094.6607392263,4596374.96653541,3645224.4955433244,10523182.453091254,4242227.658009287
sp|P20962|PTMS_HUMAN,65462669.14807256,65155583.83048158,29911408.6177428,105355481.7487732,41404781.402058944,63490234.61701826,95987110.73147888,16060957.534430433,17042424.005533528,101452508.83256719,15064251.842702897,125172906.41743438
sp|Q52LJ0|FA98B_HUMAN,8112692.714923273,7894186.146004388,8037354.219661725,8016271.275135154,6897641.180044501,7615629.559240884,8671988.416830368,9385748.440036224,9551933.931628095,8883559.594456974,4500191.277826237,5580353.434232025
sp|Q9NW13|RBM28_HUMAN,12340886.209842144,16328586.843911843,13787419.895895451,13347088.25220528,13437874.109078944,13446305.66443139,8936074.615809677,17387707.8485253,16640851.520557728,14138080.551752493,8329913.601633168,17255532.837086674
sp|Q9BZL4|PP12C_HUMAN,2390799.355793967,2174200.7781574763,2379058.04467352,2494177.1496329824,2472929.3268535845,2364536.456124865,3197972.8789001834,1990303.2096086137,3408210.193861039,1605892.8772486472,1884919.8484385675,2188402.1031793435
sp|P35232|PHB1_HUMAN,153192352.13212597,114550713.03559525,147429572.40711623,193452082.36394247,160775625.51701146,146980311.45696798,202240831.2366553,61500190.115519635,197688400.75274637,200940447.65489614,169785966.64137027,84224820.51157162
sp|Q00610|CLH1_HUMAN,578782594.8594656,597885567.4047328,591405831.5872765,661524030.4648701,691890416.3065475,656848865.9896468,486073456.27315664,651000390.2095131,678111006.8959494,641520493.3900965,577198121.441247,744433838.4025767
sp|P49327|FAS_HUMAN,515508278.50672513,528615889.914983,522935893.20673335,544747325.1520536,538408693.4337517,529818260.36355656,569368555.513253,506200667.09921825,567563890.183294,553457631.0041701,484271371.93690777,499172224.8409602
sp|Q9NS91|RAD18_HUMAN,1082714.9344187437,,621991.1914514235,968670.5179199443,764293.5802311236,798285.9679590161,972830.1866502297,429907.5247694017,558864.0947867183,870360.1379570871,686725.9214215137,717268.3263953
sp|Q96RU3|FNBP1_HUMAN,3551385.8134395475,3182405.3955964777,3429379.30165473,2979151.7487444472,2654700.641695331,2941049.8156293635,3102328.866942908,6843120.629199199,3015355.7753132335,2678097.462330034,1470288.39223398,1628881.5907405415
sp|Q10471|GALT2_HUMAN,41116781.35591711,39850072.415977,43165243.34444325,38721708.86188137,33871125.7415538,35318052.20716884,34104767.125562206,45430612.399269655,40261920.35831965,54515239.29162665,43261798.99921985,14468645.752943374
sp|Q08211|DHX9_HUMAN,170241584.15900743,154452621.27212942,168674506.53314283,184969599.93309113,184969599.93309113,177033787.4069681,165777192.10698298,145577690.94779474,180369543.05947646,174714504.31223837,134432496.01930287,239470272.79163444
sp|P33176|KINH_HUMAN,80352448.77416335,75072617.38458385,78560739.75385922,77825358.51103531,72381633.23157129,76004124.78670174,93636877.83975706,87649130.27432059,94500484.6286374,80704752.1616436,45615538.92110525,58090138.616450824
sp|P62258|1433E_HUMAN,428507032.2119469,393246069.2640482,411386094.0294497,386798069.39089227,403336379.73303926,406491003.9722165,472752167.6671627,345222627.5853652,246047353.90004805,316757230.01607245,475024310.65576357,573960958.7771808
sp|Q13439|GOGA4_HUMAN,13046571.148141487,15615966.674084699,16077188.865729518,14921881.96741667,14531727.86186998,13410367.12073859,10780050.308198133,21229646.860723004,18215472.419894084,13096124.577423278,13337085.221936842,10945324.249805601
sp|O00273|DFFA_HUMAN,9043078.555113588,10374416.213151334,10222445.501833064,10190158.782115271,10086350.164780833,8716375.65392101,7247144.707082616,8503873.137200115,8326064.074916483,14533994.977752456,10795044.232600778,9226703.741362652
sp|Q13123|RED_HUMAN,5149376.949063129,6329923.730408541,4960764.123376415,5627959.286565521,5838655.076095869,5476284.209261072,4065652.7893152125,5434325.510039851,7992293.167598088,4196476.352941228,6068395.190169513,5625820.364706655
sp|P26006|ITA3_HUMAN,60783250.11293025,58570831.89669243,59099998.25860552,60484657.80118639,55059346.37565891,63385681.56573339,72643450.64713308,60556788.22701755,58387478.62602776,52970900.25322771,53154424.356300615,59670723.9011002
sp|Q5VTR2|BRE1A_HUMAN,11467594.265755188,14338648.933357079,15656926.196731409,11317634.14021814,11460412.193352668,12659840.694585303,12714554.461836517,9933395.128469896,21451156.275733978,12438228.622712802,7382217.453451219,12981504.481795367
sp|Q9H4A6|GOLP3_HUMAN,3652163.4314048477,3543280.1094264253,3485121.065620081,3302442.7721584598,3732123.5044658706,4613333.127283013,3390291.689777307,3653410.068071418,3235228.925661463,3728678.2014266094,3464518.0336570083,4856337.091764893
sp|Q8IUD2|RB6I2_HUMAN,4054242.6987174964,4516173.540526197,4943910.003067968,4998055.134533756,4490860.815306934,5836906.587006866,5052446.363682129,6763191.249224485,4967400.286638942,5870712.8656903,2912695.7628582153,3273702.2510651452
sp|Q9BQ69|MACD1_HUMAN,855186.7214022188,1102926.5952366772,,1068852.8415263596,1106338.1843385536,,855186.445063982,1102926.9424134817,,1068853.128181115,1106337.82684523,
sp|O75369|FLNB_HUMAN,501456996.90211636,491190617.3341486,506928171.30180496,469252861.3519108,463179688.67087597,477336781.4454384,474791232.8499816,495906885.00197005,572411571.4853511,452869906.7827294,458441805.7861634,454923715.1000993
sp|Q9Y230|RUVB2_HUMAN,70825138.96302988,72878235.00237727,76990140.24522318,67067414.99502036,76456118.16129686,69621727.78521065,74925749.83889565,68965125.19744174,77772222.21576211,74202083.22513202,68447302.49694484,69526292.17798194
sp|Q92804|RBP56_HUMAN,125111544.35430114,139918253.24092093,121533828.38898836,73371730.46009251,70801667.90081403,112864992.5934564,39529837.02568568,213618757.09603128,139120676.64327556,96167329.7311528,25657986.83886964,129507429.60355835
sp|Q9P2E9|RRBP1_HUMAN,142611272.29223925,149921001.594789,148294820.93256086,144548070.29253697,141525730.64435652,149925770.4284942,156124987.31523773,162164671.16370964,167110138.81068814,131265570.61302087,148536235.22274882,111625063.05957146
sp|O60645|EXOC3_HUMAN,2700842.830787681,2609795.856042576,2473886.4320114716,2493876.0827417956,2384330.0509560117,3225127.1259589517,3541644.5904420847,3769628.389092154,1312016.2890238436,1322618.2373705597,3113115.9030433875,2828834.969526456
sp|Q15149|PLEC_HUMAN,2053233651.042187,1999762488.7644706,2080950618.5098119,1984006035.4980612,2027160778.7278402,2022057964.799344,2094116488.2701554,1800147021.4275448,2267935123.809553,2011964729.1193652,1962802606.7794628,2030205567.9356341
sp|Q9BQS8|FYCO1_HUMAN,8723165.438626595,9101904.662274135,7434005.10935066,5475306.409338823,7413235.195712642,7220336.658554351,8364446.916339924,11340046.02786902,12184621.65987217,5498644.24902368,4326297.856841262,3653896.7639111616
sp|Q12788|TBL3_HUMAN,6395446.992774339,6536365.748630124,5803566.208346879,5988968.72950495,6983294.769819893,6451586.640577104,7380045.128615857,10019306.229527917,10427473.069967534,6571047.017624793,618816.2783512627,3142541.3655659226
sp|Q9H0D6|XRN2_HUMAN,59504733.321786515,51858956.69006624,52000241.44091581,52357365.12243061,59513644.34126779,53151130.33742906,57081708.042961754,55043036.24289638,53111276.39583552,51810767.05136894,55896279.39125547,55443004.129578054
sp|Q92797|SYMPK_HUMAN,3530690.8585204775,3142484.3993354603,4675823.465736118,2760849.177120346,3651821.9365971615,3389555.0836186083,6150523.30164085,2999177.928260038,5515799.631855348,2094563.6136245008,1099788.769264832,3291371.6762826066
sp|Q13813|SPTN1_HUMAN,391674597.434423,400598974.29513025,406955680.6950372,388853056.32933855,372108929.9261062,382212397.3239941,405882396.3376879,418501508.8355069,404882370.644157,357615134.6472305,414050809.93788075,341471415.6015661
sp|P35251|RFC1_HUMAN,2029084.5400848081,2903476.7205396937,1929395.3445821828,1853626.8834807638,1727480.6486202357,1890118.406862904,3713089.6869598953,889369.1022708558,2014770.997897491,1250449.6303517157,1491149.138554174,2974353.988136458
sp|Q14980|NUMA1_HUMAN,76072031.58280897,74672017.07760043,73500702.74614632,65261815.026180625,69783204.35845305,70366529.69386744,65265760.5642657,76672809.68700814,78802918.38702148,69000099.39692464,71046283.3320073,68868429.11782959
sp|Q3ZAQ7|VMA21_HUMAN,2234117.990226328,2102413.033747703,,2129296.1239935504,2092923.4385081404,2191800.329349232,2122856.913421947,1997712.9552028277,535380.9612942629,2023257.2827813835,1988693.976834116,2082648.8262904156
sp|O95602|RPA1_HUMAN,5281442.100942319,5089611.611345138,5880697.513627474,4659535.914978055,4451958.685519854,5214309.725273756,5178453.960241538,5208534.850304513,7251994.052823089,4381024.894134259,4084318.2685581935,4473229.525625005
sp|Q7Z6Z7|HUWE1_HUMAN,43573969.68164285,48626687.54838032,49491911.07857809,44785336.398372106,48127232.71616348,50686579.601918474,37723526.061796054,49202621.970218346,58859278.29525282,51033662.52974494,44455236.62805197,44017391.53999122
sp|O00139|KIF2A_HUMAN,8573826.011359895,8463389.17956293,8464726.386393439,8998963.402132718,8432369.25009005,8548981.104738036,8145641.1141101355,6101081.686644705,12975224.915161543,10530373.0676841,7105887.914850932,6624046.635825652
sp|P62851|RS25_HUMAN,133417813.46023011,159726175.1951618,181199666.49249944,155470576.69601804,180811501.49317315,186105036.81641427,80826277.37243678,144596784.69453454,193528971.48800212,138992545.20245916,209503072.54685897,229283118.8492053
sp|O96013|PAK4_HUMAN,7503768.855786086,7485815.186363423,8958246.646243533,6850932.7867434155,6537554.077814062,5634436.385249777,14054178.772157814,6860040.705168257,1736609.260566613,8926410.851662291,6773400.187296486,4620114.161348825
sp|P78527|PRKDC_HUMAN,272077821.24980325,298603191.2583578,304239892.2062093,296561198.7936865,290055186.3689391,310289553.6678974,303759440.7474011,250069261.59333456,345794951.9437583,301608431.9816228,273554850.8193365,297039906.45944047
sp|O95831|AIFM1_HUMAN,71434864.50928314,82715551.27040817,83933174.3210421,76824210.3222159,78668046.30373384,87943848.36043355,71194354.85728939,78571600.04060148,88462486.35252254,63483359.82172072,101692694.40399158,78115199.61099099
sp|P61201|CSN2_HUMAN,9020299.055634508,10142550.940979393,8754645.29167222,8878085.53749615,8407134.764083203,9266836.143700972,13345571.811587296,10689612.463716535,12361514.378036726,8699405.865462948,3398318.7355527407,5975128.479210201
sp|Q6PGP7|SKI3_HUMAN,4696662.645757642,4153690.896657269,4204985.510168921,4205161.240931217,4707270.30967882,4004535.914062319,2551211.5563597544,3541411.1361285816,3490729.5661916374,5713489.448175271,4497770.484753893,6177694.3256470505
sp|Q16891|MIC60_HUMAN,147026979.46215478,148960992.6357278,140196263.34818426,146203498.5889858,144976208.05492997,146493919.21979436,149024623.4724948,159168025.0088842,163425458.79574493,129835602.14570639,120941456.37269443,151462695.5142522
sp|Q8NE71|ABCF1_HUMAN,36751829.33169358,47370337.63377975,43173406.3174913,35751944.740058094,37050463.21218639,42885733.258861564,38876304.77743991,44957029.64072789,43390447.094215795,35056843.34985306,38861569.7974365,41841519.83439756
sp|Q86V48|LUZP1_HUMAN,7826392.88270621,9350107.720063977,9096025.170820283,9178299.753834136,8263978.052834294,9199722.989389997,5572899.065277512,9280552.773504697,11546545.487226333,10033609.712847482,7354519.356167978,9126400.174624892
sp|P25787|PSA2_HUMAN,101596169.4825301,105452058.53591304,108472851.47271435,110299573.68742335,113577377.27776964,103424187.18934129,94292970.5373205,86795432.22609547,135527137.9281924,106421281.17391938,105962773.26546285,113822622.51470113
sp|Q9BV44|THUM3_HUMAN,4443013.23759208,4285325.726206084,4094381.6602288475,4529108.374961396,3841576.8384722834,4126252.8851860445,4169050.553072598,3486171.9284134815,7498012.821049538,3684487.9904628755,3125171.47630387,3356763.9533443726
sp|Q9Y4L1|HYOU1_HUMAN,24258865.57552198,33293360.324626658,32669724.85785364,25327035.547720294,27027830.196039,29331034.599135395,31485659.52800563,40706961.223594956,35981830.25126059,13756580.360381646,20537695.80038708,29439123.93726702
sp|Q9Y6E0|STK24_HUMAN,7287952.045303593,8818867.253903799,8536473.972628778,7899604.715984113,7695739.762866241,6716315.529561446,8666840.284505121,9935599.616297733,10495284.887129689,5784312.523509018,10098459.231479708,1974456.737326697
sp|P46063|RECQ1_HUMAN,7682423.67567322,7343572.281896456,7097355.030974641,6381567.147417506,5810260.644918698,7374771.499118596,7839282.750975244,8346987.960999016,4811859.078759972,7777026.007210705,2571307.0128446287,10343487.469209557
sp|Q96GQ7|DDX27_HUMAN,17604065.469405644,17326178.817825936,18112107.989865273,15391946.171956636,15173844.827231338,17823749.614686094,17043797.755990528,18697644.831059296,14348933.294471893,12843874.187244456,15856607.103277821,22641035.718926918
sp|Q15233|NONO_HUMAN,98847005.24981013,99510946.5173067,105012817.66130358,99641895.92604727,102516953.6176656,115972218.43874235,89174708.87422964,130457312.55818336,123886752.70753211,106467929.86071837,72539326.68563075,98975806.7245813
sp|Q9BUL5|PHF23_HUMAN,687484.6272546719,702228.2006797035,695299.0293966181,533261.4064178149,705715.1363343779,,441567.75787498243,1048489.8541454341,1038143.993571954,342510.42743411637,453276.3670566999,
sp|P06132|DCUP_HUMAN,1528231.4267766334,1963797.6467736033,2281897.7464263644,2726075.9550314955,2560957.3787156017,1566679.0262662317,1528231.062476935,1963796.2063677975,2281899.3308187663,2726075.305189704,2560959.5248116385,1566677.7503250919
sp|O94906|PRP6_HUMAN,24819799.692689035,27057858.1267053,27779524.468226574,23851648.848603785,24393706.726565693,26489388.00871426,26844764.408775285,31167234.9404258,29664716.02231154,20811610.963791203,20896382.45022895,25007217.085971862
sp|P04075|ALDOA_HUMAN,518931358.1295647,505786034.2996467,497498977.0390764,553681728.5640692,588064792.7754097,502648262.49473524,389938302.25937295,448667197.54419637,496988475.0224635,493858959.60889775,706146148.3029385,631012070.5646324
sp|Q99543|DNJC2_HUMAN,8794156.824857125,10104419.243375493,11762669.324404674,9970543.294423012,11235782.135648021,10874608.141831782,8081991.02578261,8827132.432757122,14222052.534922259,9011795.19356247,11259563.355728244,11339644.421787396
sp|P78318|IGBP1_HUMAN,15122828.84722338,16468607.6554297,15332409.774384417,15182509.105361259,16326835.062594743,16327403.736765934,15086602.95972858,23553469.87428331,19744168.202909634,11177732.103208922,3456940.116289051,21741680.925339945
sp|Q8IVM0|CCD50_HUMAN,3608775.786377758,,3311529.4263261836,2849370.948402714,,2979799.2900933726,2377645.8441432095,,4591809.183090032,3816774.1437924793,,1963246.2801743068
sp|Q96I24|FUBP3_HUMAN,30480283.428279284,31786096.846307572,30799462.773352057,30016161.104358558,28187586.763612412,29403430.582342792,39541689.838898025,27887926.989743967,31481014.291574765,26438039.818033017,29326385.454829182,25997965.10517373
sp|Q9BSJ2|GCP2_HUMAN,1100688.516081993,696196.0054375669,1007603.5863467928,848141.3455760988,966318.3248454034,,2011949.6093157423,515115.44748171093,745526.7991363093,295127.1092135123,1051228.8131405795,
sp|P09525|ANXA4_HUMAN,148203024.65910208,157891296.71651587,182377978.63820004,163358597.33530414,158150111.68423685,161687120.22933987,132920895.64555302,151591339.38421008,224860388.30446583,148185484.0807628,154149742.10600007,159960279.74170706
sp|Q12959|DLG1_HUMAN,1971596.167694788,1119680.6386066186,2395039.1394151594,2451768.588958958,1797015.2507381723,2166552.458725753,2078625.4417318574,1564540.8986092776,3208234.5798398647,1527492.197263637,2633496.708110569,889262.418584242
sp|P23588|IF4B_HUMAN,41708793.86103643,37503006.893199556,37088169.88570947,36318653.32622554,40208043.364486076,39337015.87907102,49548905.5329501,36356401.79729532,26806697.41610717,42659173.29744631,34514302.19262244,42278202.97330674
sp|Q9Y5B9|SP16H_HUMAN,80820398.47336231,81292081.25083749,76477247.67537369,77154107.38798444,71370245.9284448,70927335.44171445,88612329.45277232,92212974.2941986,88042464.85434526,75227429.09005061,51063619.51492187,62882598.95142851
sp|Q92538|GBF1_HUMAN,7290151.230074588,7475716.804669569,7084802.954087631,5204624.768435991,6676516.061063999,5817715.261873741,8217736.35401816,9720109.173348427,8128447.038897058,4357953.568270003,4880836.591826569,4244444.353845306
sp|Q08378|GOGA3_HUMAN,5432934.9830393065,7480584.308994739,6669085.4563243985,5967993.663225614,6031764.100889425,6828577.800419735,5785357.511256225,4113479.6445977474,7449873.789875779,6884365.620807098,7858444.734210512,6319419.012145855
sp|P51948|MAT1_HUMAN,1584171.0679268162,1250458.8020875482,1743378.9877192152,1134671.2854344079,,979879.4334049721,1463549.8870960225,1664835.5085365942,1610630.9142767577,1048275.8986251745,,905267.3680384101
sp|Q9NZM1|MYOF_HUMAN,367656991.4609699,355655922.57134736,342258096.3420153,344985285.25453264,329570099.08298796,353921259.1988845,404364843.69913185,389177783.6964115,346739492.3730482,348346415.2333536,317972810.1259384,287446308.7828541
sp|Q9Y3F4|STRAP_HUMAN,54800040.21312181,52525540.79978577,56672320.66895432,48616838.757441536,48035788.931993045,53468749.316401355,66892727.857945725,44175119.405971006,44152334.09513783,47731862.765024394,47749488.122916706,63417746.44070217
sp|Q9HCC0|MCCB_HUMAN,10636616.92577067,9516447.159306392,10423870.451954823,8431817.216715196,8958931.459880862,9574020.103664044,11012428.464095263,15795578.021153945,4256661.950198243,10209718.93488304,10749154.995981451,5518160.950980039
sp|Q9BX79|STRA6_HUMAN,3152554.8121515266,3286260.7882494153,3266240.049778365,3312086.180641469,3169381.2932734285,3242453.8269143403,3508552.6436729077,3665167.1348793795,3333301.3554222803,1031381.6995839956,3260291.35664171,4630282.760808269
sp|Q14204|DYHC1_HUMAN,264032972.45340642,268974579.2750982,271195933.4092525,256872314.9046039,250587651.46280798,251904146.48794407,263776393.09116992,276163886.2788569,286512788.0171893,247125317.45669544,225790908.57292593,264198304.57627547
sp|Q9UPN4|CP131_HUMAN,3328416.1964229885,,,1892327.3663754095,,,3281995.8930286444,,,1736784.5648068662,201963.10496288768,
sp|P22314|UBA1_HUMAN,209852118.03818572,219513190.44266894,209278940.23027122,184815561.49163154,203464713.00868404,211398491.8360055,194905848.77428007,211125154.41293913,208765274.15617642,190035154.3407136,206977153.37357214,226514429.98976558
sp|O75152|ZC11A_HUMAN,3956077.0895122397,3552597.2655529757,3903438.0248214547,3562891.6467519663,4330730.788551974,3822527.3992911032,5429900.295333232,3961966.918543869,3561888.585120011,4434188.28956005,2332546.2999257194,3407771.8259988325
sp|P18206|VINC_HUMAN,348543785.70453525,351152037.92761654,360769334.1631537,340259088.5181288,336579551.74031115,348368937.30442715,295364139.1091565,336868063.96863925,391733279.00603735,373556190.74216694,304256196.22395074,383894866.30822194
sp|Q13435|SF3B2_HUMAN,51130405.360644065,52738423.9602874,42779480.162408404,49153149.47954491,52724451.40871866,47691023.39765222,46157812.64760873,55640249.53779937,44173017.75506592,50214763.257666714,61113619.10760447,38917471.463510424
sp|P35222|CTNB1_HUMAN,11709498.975795899,12163927.811067907,12807799.544471012,11377706.15925672,13262335.917783719,10952474.260884922,8698996.711454831,12921377.699148122,14635616.79471823,11015388.553513264,14376621.891095422,10625741.0193303
sp|Q8N8S7|ENAH_HUMAN,12725338.968383132,14079213.970340393,15327787.434240699,12396084.32398765,13265673.516521731,11841464.43413327,10034076.142178308,19237822.569077916,17026838.455028445,16319435.133955631,11360589.204488125,5656801.142878459
sp|P06733|ENOA_HUMAN,1198487819.8214307,1269696083.4634717,1302591177.6977758,1491680811.5464604,1759579987.5991435,1478869555.8677528,679434790.152495,690309070.8408346,1713300746.6359055,2237113761.0319514,1538151508.5994062,1642595558.7354417
sp|Q6P6B7|ANR16_HUMAN,351577.71252274053,,556544.6734995748,392458.89513974736,,527848.7723965328,303146.67820443626,251871.47532175755,479878.73814059224,338396.7296378663,,455136.4322539431
sp|P11172|UMPS_HUMAN,17511534.767530903,17486287.637738504,17664912.419437017,17429773.15282809,17282085.709160075,18726220.782407213,20214656.05334428,17450041.62502918,14918451.240326708,18143370.04239543,16662410.427552734,18711885.08045345
sp|P02545|LMNA_HUMAN,443294421.0063573,444212471.2238004,484702731.5649909,405565778.7336822,391635610.6187547,423012032.811756,514256675.45017934,527658427.5084953,543643110.6178021,477034571.3836928,248631542.32562757,281198718.6735445
sp|P04083|ANXA1_HUMAN,701455804.5293487,707065405.0667002,749297615.8297461,773682035.9795136,836931390.3005394,989529889.5187715,795773956.2054402,293384320.7567415,1002579087.4687282,832651498.6500931,250514429.16711572,1583058848.9765007
sp|Q14019|COTL1_HUMAN,187041448.02512604,133227055.12274007,132959802.98360787,193891261.23353428,213860735.90898627,183098378.18622318,163533072.06044257,150489164.49170205,156686602.2590629,169614827.2769549,198365809.8546515,205389205.5174039
sp|Q8N163|CCAR2_HUMAN,38507020.73045113,43031995.71381668,38426626.16732304,38673992.3796945,40557362.234281935,38059364.53649239,43241745.12769042,46356783.72881801,31149874.95452579,43284562.142465554,43913311.40348904,29310084.405070826
sp|P52758|RIDA_HUMAN,10373704.91475411,11462060.088772783,10757617.993570544,12137131.704939432,10928092.592354514,10627839.741206717,7822146.798485679,11548726.962772585,11081829.871734466,13026681.222945675,11692147.981848735,11114914.19781096
sp|P51784|UBP11_HUMAN,6675016.197728249,6173345.238213993,5973413.54447553,7769675.858753067,6806153.870542717,7004592.51497438,7423720.631613603,7676760.3115806505,6494135.639769623,6923604.886055885,6302544.669804964,5581431.0858632
sp|Q9Y6Y8|S23IP_HUMAN,21662032.539948568,19799283.170797948,21741035.29868947,20722750.8100937,17760776.01266777,18494463.86573421,20943577.684612483,23611772.95753678,19049962.910782337,16781431.83427597,19393607.168441698,20399989.14228238
sp|Q05086|UBE3A_HUMAN,5797359.593499455,5111761.567207814,4986096.026616914,5711464.939379764,5504282.227149268,6063002.1582607925,5508793.954994492,4862143.570979567,5515130.726187718,6857666.645844421,6023165.109658687,4407066.504449116
