,Minus1_LFQ,Minus2_LFQ,Minus3_LFQ,Plus1_LFQ,Plus2_LFQ,Plus3_LFQ,Minus1,Minus2,Minus3,Plus1,Plus2,Plus3
sp|Q08426|ECHP_HUMAN,2290828.2621202623,2162784.4376102616,2116528.7095840294,1880441.7809802669,2086246.4409034566,2084448.2203653576,2658942.500007865,2449244.288455401,2464279.286576762,996203.8176397248,1105233.3529950518,2947374.605888829
sp|O14730|RIOK3_HUMAN,976505.7589718568,,887713.3672650713,,,,976505.7589718568,,887713.3672650713,,,
sp|Q9HCD6|TANC2_HUMAN,1348741.6435948405,,,876844.193520768,,,992780.8592590574,587378.0823395888,,645426.8955169623,,
sp|Q13951|PEBB_HUMAN,2142320.987384304,2163926.9770940854,2600021.833032123,1469279.5809958067,1608930.6483862905,,1776456.7468761671,1794375.204474687,2783370.037596427,1218348.6522433204,2411929.3857020084,
sp|Q9NYB0|TE2IP_HUMAN,1985461.1472966864,1932562.4861794794,2032185.4638920103,1876605.6440023768,1509271.1668004934,1617978.9054022054,1190709.823993875,2104911.000290622,3559599.154342817,2423183.307326168,898144.0699441805,777517.4576755891
sp|Q96J42|TXD15_HUMAN,1030750.1368343371,1150242.1857065405,1205673.6211477139,1058852.9559272088,1055617.2496567355,1152249.3903160733,1830598.8383866115,1915086.6865158482,1829444.8896356623,349498.50926556584,348430.49752227543,380326.11826264544
sp|P08648|ITA5_HUMAN,944384.8621467197,,893529.9929638898,780768.9399331213,722132.4471898132,604076.7470482822,944384.758605972,,893530.2438813222,780768.3697550587,722133.0622285568,604076.5548109172
sp|Q92575|UBXN4_HUMAN,3775853.741298064,2879999.968227934,3057809.779230876,2707451.2200199957,3161035.556269551,2909416.0507734385,3738164.709938822,2962631.949564674,3047952.722630958,2700509.322642541,3178984.939006446,2863322.6720364206
sp|Q6P3W7|SCYL2_HUMAN,2571471.7519786,2127543.8435279154,2616936.2192976447,2130080.9684733637,2168910.7961155386,2593835.907643608,2571473.715891112,2127540.617402205,2616932.251076146,2130082.1249141633,2168912.7032068195,2593838.074546221
sp|Q5TA45|INT11_HUMAN,1088230.5093709116,812732.206292513,,650270.8208375298,641735.478058835,686707.6867596626,1088232.7708342087,812732.6827869941,,650270.9614225021,641732.4559315507,686707.8303441966
sp|Q99735|MGST2_HUMAN,4278981.662148051,6268805.3647995945,4636841.7938610995,4082182.818205448,4285315.49849071,3818225.4873368936,4278981.120058235,6268807.3477524435,4636845.870226803,4082182.195587124,4285314.904549863,3818221.186667328
sp|P49841|GSK3B_HUMAN,3579176.631962639,,3155324.5001882613,1901302.769897756,,2000691.889305526,3255572.7831750284,,2870044.0209146603,1729399.2300696736,961674.7583650153,1819804.9988298055
sp|Q15633|TRBP2_HUMAN,1158142.875956258,1269314.3812396922,956023.575891581,1191567.4703483044,1232103.1507047801,1042657.1310873841,742005.1543875403,813228.7010484504,1465725.3212253493,2371444.802955744,789390.025752364,668014.5798585522
sp|Q13077|TRAF1_HUMAN,490870.5818688614,747476.792736501,,,,510192.04378698295,490870.3346474578,747476.4162782884,,,,510192.6674665991
sp|Q96I51|RCC1L_HUMAN,1216774.2804549306,1351894.8793553375,950585.3018309537,,942258.1101815896,530598.8851515634,1216773.9453344229,1351894.5525414587,950585.7347069054,,942258.4675096723,530598.7568819158
sp|O75616|ERAL1_HUMAN,1718106.6777837027,1292582.6859374347,,1676010.456095714,1575165.1210147673,1454935.609096538,1045927.473569671,815929.3933015651,,2081235.9953585176,1956839.263216592,1816868.4244818105
sp|Q15628|TRADD_HUMAN,1751695.0311873993,2043207.4264166479,,2015899.9106037088,2485511.6343947425,,1254719.1413806637,1463527.4880605321,,2966698.7082960177,1780343.6589480666,831025.005917219
sp|P98173|FAM3A_HUMAN,401999.66012527334,344510.24305331835,402159.13529994007,406228.07699624565,,,401999.97603887436,344509.9636818417,402159.42817773874,406227.7475763226,,
sp|Q9NWX6|THG1_HUMAN,3098802.3979615867,3950496.664098386,4245459.222464263,,3791650.485156417,3484721.3646861906,2636283.06757256,3360859.476006129,3611793.1987496754,,5997590.00835089,2964604.3836875907
sp|P08240|SRPRA_HUMAN,,1621053.6928876878,,1192207.0706588686,1600054.0313926227,1340549.2464167618,662671.5198240066,1455509.5695703905,,433693.91499782656,1916236.37523663,1285752.661727087
sp|P61353|RL27_HUMAN,28004707.517666902,37900274.976016074,39051898.29304801,40661214.23289014,,39100853.038702734,4076940.278082261,58228519.8186379,60869011.53683763,55852153.05168121,,5692323.373084834
sp|Q96G03|PGM2_HUMAN,5646609.674980716,4699968.84356731,3098793.469629417,2525850.0662677814,2835191.039371291,4293638.053635339,4764953.333828949,3919854.627431644,4177728.425683997,3134329.276952672,3522219.975596826,3580965.507957762
sp|Q7Z4R8|CF120_HUMAN,4297144.754627012,4287160.553305628,4579134.953836626,4660589.283942121,4646982.735203666,4981302.152284891,4297144.365460222,4287155.5688635055,4579134.0825608615,4660589.617703498,4646982.848660711,4981307.94995114
sp|Q8N543|OGFD1_HUMAN,609883.522062931,,,,,,609883.522062931,,,,,
sp|P35813|PPM1A_HUMAN,4034789.345132565,4583269.359663022,3949079.176297768,2860162.0872600162,3292030.2027192404,,1999743.3713696736,2271583.091465593,8986113.447559953,1417566.0869482765,1631612.4907122606,2412711.6830168585
sp|Q8N357|S35F6_HUMAN,1989714.4403884185,2178580.043624547,2635793.5264926543,2088779.4740825207,2175526.3919753814,2635148.496365555,2229320.43694912,2086617.3825152954,2537796.1004804904,2046988.318152768,2210813.282458524,2592006.852372882
sp|O15533|TPSN_HUMAN,455802.9985361311,,613535.7967887108,590029.0429321338,,451290.0218469137,455803.22406949307,,613535.5409333183,590029.261450169,,451289.8336509091
sp|O14579|COPE_HUMAN,14569216.518391365,18948265.74821925,20978433.466161333,21510780.463577162,21579165.175281253,18654138.87459613,30318134.825947247,3226026.300574314,1139297.137960782,42302252.2450713,5976869.634939882,33277420.10173296
sp|Q9BW91|NUDT9_HUMAN,5334766.062384586,4266276.170329044,2888568.4177375515,8482841.141625792,4083737.4876156575,,2073510.700563752,4934945.086900337,2714280.5045074914,12014040.792941263,3319412.1947797826,
REV__sp|O95935|TBX18_HUMAN,45586857.33166962,,,,27410600.703974735,,45586857.33166962,,,,27410600.703974735,
sp|Q969E8|TSR2_HUMAN,1890174.0598987604,,,2711004.9834948503,1901548.3834884532,,1890174.0157034558,,,2711004.920107201,1901548.4910714063,
sp|Q9Y6A9|SPCS1_HUMAN,13775172.590503138,15174812.541579343,13005475.587348351,11000543.153613552,9036160.15322602,9863919.150394782,13775179.631533183,15174800.07519406,13005482.925772956,11000547.408929922,9036149.940961873,9863923.194273187
sp|O43920|NDUS5_HUMAN,5664668.646545535,6036485.469487587,5323365.292534234,5032991.587052564,4374712.9671847485,5199359.633024161,5122504.868318309,5458730.628441449,6106191.075136704,6286421.146661846,3956004.5367910056,4701731.340479517
sp|O15013|ARHGA_HUMAN,1719849.2579274864,2155906.6083040168,2481201.343820441,2726235.439411597,2338789.1046477663,2663366.612011182,1470811.450741408,2456350.662623169,2127688.5691313217,3096090.4856821215,2650508.5081899306,2283898.6897545406
sp|O43570|CAH12_HUMAN,32771670.82756956,20424032.36350515,25997747.696230456,24915094.352898013,25975818.567988865,29756382.530265138,32771648.019550446,20424018.149041597,25997750.730892472,24915118.6989142,25975822.352540582,29756388.387517907
sp|Q8TF05|PP4R1_HUMAN,2223551.3805252505,2321571.2049264186,2506230.0632013683,2460274.803302198,2113000.0206925473,1909083.8660470597,2342278.9556314507,2803531.0680345423,3511846.3081407957,1937876.0528182096,2438840.9195344197,499338.0345354276
sp|Q5T601|AGRF1_HUMAN,1752645.8053467802,,,,,,1752645.8053467802,,,,,
sp|P61225|RAP2B_HUMAN,5813921.5589210335,5188698.8869327735,3400866.735542376,5812723.535086274,3900755.002907304,4446338.890680814,829442.0704439302,740044.476840242,5223408.269827727,7707178.780880481,8167761.341110932,5895469.670967265
sp|Q99417|MYCBP_HUMAN,5668915.034208609,,4512006.980004137,3807126.0778043424,3807126.0778043424,4159784.466650444,6236417.07804177,,7134501.881142704,2274485.9668940385,2105962.817128681,4203590.893264681
